case,metal,pH,U_RHE_V,U_SHE_V,ion_activity_M,NH3_M,Gly_M,CN_M,aqueous_species_best,G_aq_best_eV_per_metal,solid_species_ref_best,G_solid_ref_eV_per_metal,delta_G_pbx_best_eV_per_metal
nh3_gly_low,Au,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,H2AuO3[1-],-2.910740,Au4O6,-2.984665,0.073926
nh3_gly_low,Pd,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,Pd(NH3)4[2+],-2.527244,Pd2O4,-4.635956,2.108712
nh3_gly_low,Ni,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,Ni(OH)4[2-],-4.832965,NiO2,-4.516052,-0.316913
nh3_gly_low,Cu,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,CuHO2[1-],-2.890143,Cu16O24,-3.922854,1.032711
nh3_gly_low,Ti,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,TiHO3[1-],-12.058019,Ti4O8,-12.958290,0.900271
nh3_gly_cn_low,Au,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,H2AuO3[1-],-2.910740,Au4O6,-2.984665,0.073926
nh3_gly_cn_low,Pd,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,Pd(CN)4[2+],-2.550903,Pd2O4,-4.635956,2.085053
nh3_gly_cn_low,Ni,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,Ni(OH)4[2-],-4.832965,NiO2,-4.516052,-0.316913
nh3_gly_cn_low,Cu,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,CuHO2[1-],-2.890143,Cu16O24,-3.922854,1.032711
nh3_gly_cn_low,Ti,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,TiHO3[1-],-12.058019,Ti4O8,-12.958290,0.900271
nh3_gly_low,AuPd,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,weighted(Au:H2AuO3[1-]; Pd:Pd(NH3)4[2+]),-2.718992,weighted(Au:Au4O6; Pd:Pd2O4),-3.810311,1.091319
nh3_gly_low,TiCu,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,weighted(Ti:TiHO3[1-]; Cu:CuHO2[1-]),-7.474081,weighted(Ti:Ti4O8; Cu:Cu16O24),-8.440572,0.966491
nh3_gly_low,TiNi,12.000,2.000,1.291,1.000e-04,0.02,0.005,0,weighted(Ti:TiHO3[1-]; Ni:Ni(OH)4[2-]),-8.445492,weighted(Ti:Ti4O8; Ni:NiO2),-8.737171,0.291679
nh3_gly_cn_low,AuPd,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,weighted(Au:H2AuO3[1-]; Pd:Pd(CN)4[2+]),-2.730821,weighted(Au:Au4O6; Pd:Pd2O4),-3.810311,1.079489
nh3_gly_cn_low,TiCu,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,weighted(Ti:TiHO3[1-]; Cu:CuHO2[1-]),-7.474081,weighted(Ti:Ti4O8; Cu:Cu16O24),-8.440572,0.966491
nh3_gly_cn_low,TiNi,12.000,2.000,1.291,1.000e-04,0.02,0.005,0.0001,weighted(Ti:TiHO3[1-]; Ni:Ni(OH)4[2-]),-8.445492,weighted(Ti:Ti4O8; Ni:NiO2),-8.737171,0.291679
