ligand,metal_ion,n_metal,n_complex,G_ligand (kJ/mol),G_metal (kJ/mol),signed_metal_ion,del_G_eV,log_B,species,metal,species_label
NH3,Ag+,1,1,-26.63,77.107,Ag[1+],0.3219904,3.4,Ag(NH3)1[1+],Ag,Ag1(NH3)1[1+]
NH3,Ag+,1,2,-26.63,77.107,Ag[1+],-0.19067697090000002,7.4,Ag(NH3)2[1+],Ag,Ag1(NH3)2[1+]
NH3,Au+,1,2,-26.63,176.0,Au[1+],-0.3253909145,27.0,Au(NH3)2[1+],Au,Au1(NH3)2[1+]
NH3,Au3+,1,4,-26.63,440.0,Au[3+],1.6812751204,30.0,Au(NH3)4[3+],Au,Au1(NH3)4[3+]
NH3,Ca2+,1,1,-26.63,-553.54,Ca[2+],-6.001204983,-0.2,Ca(NH3)1[2+],Ca,Ca1(NH3)1[2+]
NH3,Ca2+,1,2,-26.63,-553.54,Ca[2+],-6.2417054534,-0.8,Ca(NH3)2[2+],Ca,Ca1(NH3)2[2+]
NH3,Ca2+,1,3,-26.63,-553.54,Ca[2+],-6.4703725804,-1.6,Ca(NH3)3[2+],Ca,Ca1(NH3)3[2+]
NH3,Ca2+,1,4,-26.63,-553.54,Ca[2+],-7.0007899665,2.7,Ca(NH3)4[2+],Ca,Ca1(NH3)4[2+]
NH3,Cd2+,1,1,-26.63,-77.612,Cd[2+],-1.2342256630000001,2.6,Cd(NH3)1[2+],Cd,Cd1(NH3)1[2+]
NH3,Cd2+,1,2,-26.63,-77.612,Cd[2+],-1.6315179348000002,4.65,Cd(NH3)2[2+],Cd,Cd1(NH3)2[2+]
NH3,Cd2+,1,3,-26.63,-77.612,Cd[2+],-1.989760173,6.04,Cd(NH3)3[2+],Cd,Cd1(NH3)3[2+]
NH3,Cd2+,1,4,-26.63,-77.612,Cd[2+],-2.3178273854,6.92,Cd(NH3)4[2+],Cd,Cd1(NH3)4[2+]
NH3,Cd2+,1,5,-26.63,-77.612,Cd[2+],-2.5748945367,6.6,Cd(NH3)5[2+],Cd,Cd1(NH3)5[2+]
NH3,Cd2+,1,6,-26.63,-77.612,Cd[2+],-2.7503116179,4.9,Cd(NH3)6[2+],Cd,Cd1(NH3)6[2+]
NH3,Co2+,1,1,-26.63,-54.4,Co[2+],-0.9611085411,2.05,Co(NH3)1[2+],Co,Co1(NH3)1[2+]
NH3,Co2+,1,2,-26.63,-54.4,Co[2+],-1.3300007885,3.62,Co(NH3)2[2+],Co,Co1(NH3)2[2+]
NH3,Co2+,1,3,-26.63,-54.4,Co[2+],-1.6645763398,4.61,Co(NH3)3[2+],Co,Co1(NH3)3[2+]
NH3,Co2+,1,4,-26.63,-54.4,Co[2+],-1.9819935429000002,5.31,Co(NH3)4[2+],Co,Co1(NH3)4[2+]
NH3,Co2+,1,5,-26.63,-54.4,Co[2+],-2.2597690454,5.34,Co(NH3)5[2+],Co,Co1(NH3)5[2+]
NH3,Co2+,1,6,-26.63,-54.4,Co[2+],-2.500861183,4.75,Co(NH3)6[2+],Co,Co1(NH3)6[2+]
NH3,Co3+,1,1,-26.63,134.0,Co[3+],0.6808945953000001,7.3,Co(NH3)1[3+],Co,Co1(NH3)1[3+]
NH3,Co3+,1,2,-26.63,134.0,Co[3+],0.0084770872,14.0,Co(NH3)2[3+],Co,Co1(NH3)2[3+]
NH3,Co3+,1,3,-26.63,134.0,Co[3+],-0.6284403904,20.1,Co(NH3)3[3+],Co,Co1(NH3)3[3+]
NH3,Co3+,1,4,-26.63,134.0,Co[3+],-1.2357745092,25.7,Co(NH3)4[3+],Co,Co1(NH3)4[3+]
NH3,Co3+,1,5,-26.63,134.0,Co[3+],-1.8135252694,30.8,Co(NH3)5[3+],Co,Co1(NH3)5[3+]
NH3,Co3+,1,6,-26.63,134.0,Co[3+],-2.3498593273,35.2,Co(NH3)6[3+],Co,Co1(NH3)6[3+]
NH3,Cu+,1,1,-26.63,49.98,Cu[1+],-0.1070779367,5.9,Cu(NH3)1[1+],Cu,Cu1(NH3)1[1+]
NH3,Cu+,1,2,-26.63,49.98,Cu[1+],-0.6729953533,10.8,Cu(NH3)2[1+],Cu,Cu1(NH3)2[1+]
NH3,Cu2+,1,1,-26.63,65.49,Cu[2+],0.15839697560000002,4.13,Cu(NH3)1[2+],Cu,Cu1(NH3)1[2+]
NH3,Cu2+,1,2,-26.63,65.49,Cu[2+],-0.3235037022,7.61,Cu(NH3)2[2+],Cu,Cu1(NH3)2[2+]
NH3,Cu2+,1,3,-26.63,65.49,Cu[2+],-0.7693126823,10.48,Cu(NH3)3[2+],Cu,Cu1(NH3)3[2+]
NH3,Cu2+,1,4,-26.63,65.49,Cu[2+],-1.1701549571,12.59,Cu(NH3)4[2+],Cu,Cu1(NH3)4[2+]
NH3,Fe2+,1,1,-26.63,-78.9,Fe[2+],-1.1765747813,1.4,Fe(NH3)1[2+],Fe,Fe1(NH3)1[2+]
NH3,Fe2+,1,2,-26.63,-78.9,Fe[2+],-1.4999086562000001,2.2,Fe(NH3)2[2+],Fe,Fe1(NH3)2[2+]
NH3,Fe2+,1,4,-26.63,-78.9,Fe[2+],-2.1406597344,3.7,Fe(NH3)4[2+],Fe,Fe1(NH3)4[2+]
NH3,Ni2+,1,1,-26.63,-46.4,Ni[2+],-0.9196110861000001,2.75,Ni(NH3)1[2+],Ni,Ni1(NH3)1[2+]
NH3,Ni2+,1,2,-26.63,-46.4,Ni[2+],-1.3257783655,4.95,Ni(NH3)2[2+],Ni,Ni1(NH3)2[2+]
NH3,Ni2+,1,3,-26.63,-46.4,Ni[2+],-1.701770619,6.64,Ni(NH3)3[2+],Ni,Ni1(NH3)3[2+]
NH3,Ni2+,1,4,-26.63,-46.4,Ni[2+],-2.0458128451,7.79,Ni(NH3)4[2+],Ni,Ni1(NH3)4[2+]
NH3,Ni2+,1,5,-26.63,-46.4,Ni[2+],-2.3638217154,8.5,Ni(NH3)5[2+],Ni,Ni1(NH3)5[2+]
NH3,Ni2+,1,6,-26.63,-46.4,Ni[2+],-2.6392305492,8.49,Ni(NH3)6[2+],Ni,Ni1(NH3)6[2+]
